lexeme	ambiguous	score
무궁	0	0.0
지번	0	0.0
경계	1	33.3333
세기	1	25.0
진로	1	20.0
일선	0	16.6667
응징	0	28.5714
각	0	37.5
패러디	0	33.3333
국격	0	40.0
중간	1	45.4545
라섹	0	50.0
매수	1	46.1538
사우디아라비아	0	50.0
탁구	0	46.6667
사격	0	43.75
책상	0	47.0588
인재	1	50.0
핵	1	52.6316
명명	0	55.0
만반	0	57.1429
구별	0	54.5455
갑	0	52.1739
홈런	0	54.1667
컨설팅	0	52.0
김포	0	50.0
책사	0	48.1481
세대	1	50.0
추신	0	51.7241
풍미	0	50.0
진짜	0	51.6129
타협	0	53.125
결성	0	54.5455
타깃	0	52.9412
빈소	0	54.2857
정책	1	55.5556
석탑	0	56.7568
담합	1	55.2632
문호	1	53.8462
와이엠시에이	0	55.0
시립	0	56.0976
분진	0	54.7619
감사	1	55.814
용납	0	56.8182
이식	1	55.5556
숙제	1	54.3478
풍	0	55.3191
최근	1	56.25
변환	0	57.1429
개	0	58.0
경위	1	56.8627
총괄	0	55.7692
벽면	0	56.6038
사색	0	57.4074
제기	1	56.3636
평전	0	55.3571
편리	0	54.386
시료	0	55.1724
전화	1	54.2373
공백	0	53.3333
관세	1	52.459
친정	0	51.6129
전거	0	52.381
입사	1	53.125
상쇄	0	53.8462
근접	0	54.5455
노	0	53.7313
구인	0	54.4118
마피아	0	53.6232
서류	0	52.8571
질감	0	52.1127
극찬	0	51.3889
개발	1	52.0548
패소	0	51.3514
오차	0	50.6667
피시	0	51.3158
가담	0	50.6494
토막	0	50.0
재치	0	50.6329
창조	0	50.0
결합	1	49.3827
사면	1	48.7805
발화	0	48.1928
공작	0	48.8095
애착	0	48.2353
산지	1	48.8372
센서	0	49.4253
박식	0	48.8636
창립	0	48.3146
개편	1	48.8889
이야기	1	48.3516
비난	0	47.8261
일촉즉발	0	47.3118
사단	0	47.8723
강좌	0	47.3684
동거	0	47.9167
유탄	0	47.4227
잔해	0	46.9388
숙고	0	47.4747
교통	0	47.0
시보	0	47.5248
위임	0	48.0392
뿌리	1	47.5728
응수	0	47.1154
성과	0	47.619
섭렵	0	47.1698
유죄	1	47.6636
전념	0	48.1481
법정	1	47.7064
감원	0	47.2727
유령	1	46.8468
전력	1	46.4286
맘	1	46.9027
군축	0	47.3684
표결	0	47.8261
품	0	47.4138
당원	0	47.8632
고철	0	48.3051
기억	1	48.7395
도전	1	49.1667
제공	1	49.5868
출하	0	50.0
해킹	0	49.5935
트래픽	0	50.0
기호	1	50.4
소용	0	50.0
오디션	0	50.3937
사양	0	50.0
샴페인	0	50.3876
기장	0	50.7692
소치	0	50.3817
연극	0	50.7576
원격	0	50.3759
성공	1	50.0
좌선	0	49.6296
소원	1	50.0
전지	1	50.365
투기	0	50.7246
제주	1	51.0791
국모	0	51.4286
팝콘	0	51.0638
이주	0	51.4085
재정	1	51.7483
실리	0	51.3889
빛	0	51.7241
연마	0	52.0548
복귀	1	51.7007
역사	1	52.027
중지	0	51.6779
헌신	0	51.3333
금연	1	50.9934
우위	0	51.3158
교부	0	50.9804
조회	0	50.6494
커플	0	50.3226
부결	0	50.641
동향	1	50.3185
싸움	0	50.0
매연	0	49.6855
심장	0	50.0
폭탄	0	50.3106
창고	0	50.6173
고종	1	50.9202
소관	0	51.2195
스토리	0	51.5152
자문	0	51.2048
양구	0	50.8982
리콜	0	50.5952
퇴사	0	50.2959
출시	0	50.5882
통	1	50.8772
사원	0	51.1628
봉투	0	51.4451
담보	1	51.1494
사이클	0	51.4286
마음	1	51.1364
닭	0	50.8475
상시	1	51.1236
평화	1	51.3966
감수	1	51.6667
입증	1	51.9337
동반	1	51.6484
울산	0	51.9126
층	1	52.1739
관할	0	52.4324
개념	1	52.1505
모퉁이	0	52.4064
직업	0	52.1277
탈	1	52.381
구설	0	52.1053
중순	0	51.8325
산중	0	51.5625
질책	0	51.8135
동아리	0	52.0619
확산	1	51.7949
의미	1	52.0408
비단	0	52.2843
정성	1	52.5253
모바일	0	52.7638
현혹	0	53.0
쌍방	0	52.7363
각막	0	52.4752
방황	1	52.7094
공채	0	52.451
발령	1	52.1951
동	1	52.4272
결사	0	52.657
체온	0	52.4038
테러	0	52.6316
공금	0	52.381
밑	1	52.6066
해경	0	52.3585
맨체스터	0	52.1127
둔화	0	51.8692
강호	0	51.6279
독	1	51.8519
경합	1	51.6129
현실	1	51.8349
수사	1	51.5982
배격	0	51.8182
업종	0	51.5837
깨달음	0	51.8018
악화	1	51.5695
방침	1	51.7857
식품	0	51.5556
신뢰	1	51.3274
고시	0	51.1013
고리	1	50.8772
안양	0	50.655
브루나이	0	50.4348
타국	0	50.2165
제전	1	50.431
소화	1	50.6438
권	1	50.8547
문의	1	51.0638
개시	0	50.8475
학원	1	50.6329
예외	0	50.8403
속보	0	50.6276
주미	0	50.8333
곤경	0	51.0373
역부족	0	51.2397
창의	0	51.4403
훈계	0	51.6393
재난	0	51.8367
묘역	0	51.626
사관	1	51.8219
후쿠시마	0	52.0161
파티	0	51.8072
즉사	0	51.6
실행	1	51.3944
바이오시밀러	0	51.5873
모임	0	51.7787
특구	0	51.5748
메르스	0	51.3725
궁핍	0	51.1719
약점	0	51.3619
지략	0	51.5504
부채	0	51.7375
왕국	0	51.5385
나무	0	51.7241
말미	0	51.5267
아메리카노	0	51.3308
조	1	51.1364
상실	0	50.9434
팩트	0	51.1278
벨	0	50.9363
수유	0	50.7463
품귀	0	50.5576
집행	1	50.7407
한우	0	50.5535
낙선	0	50.7353
태국	0	50.9158
획득	0	50.7299
기녀	0	50.5455
합창	0	50.3623
매진	0	50.1805
신약	0	50.0
작	0	49.8208
숲	0	50.0
면제	0	50.1779
카운터	0	50.0
워싱턴	0	49.8233
체중	0	50.0
방해	0	50.1754
잔치	0	50.0
영리	0	49.8258
보스턴	0	50.0
발레	0	49.827
영국	0	49.6552
음주	0	49.4845
염두	1	49.6575
대권	0	49.8294
보증	0	49.6599
공유	1	49.4915
원년	0	49.6622
창문	0	49.4949
개막	0	49.6644
중증	0	49.8328
취합	0	49.6667
베네치아	0	49.5017
경협	0	49.6689
해군	1	49.505
압박	1	49.6711
티켓	0	49.5082
순록	0	49.6732
배급	0	49.8371
인체	0	50.0
경제	1	49.8382
홀	0	49.6774
선례	0	49.8392
왕릉	0	50.0
고소	0	50.1597
감찰	0	50.0
모순	0	49.8413
궁예	0	50.0
정자	1	50.1577
제로	0	50.0
선비	1	50.1567
전자	0	50.3125
해적	0	50.1558
악수	0	50.3106
경인	0	50.1548
풍랑	0	50.0
증언	0	49.8462
교감	0	50.0
체형	0	49.8471
조장	1	49.6951
구출	0	49.848
양식	0	49.697
납부	0	49.8489
죄질	0	49.6988
근대	0	49.8498
흥분	0	50.0
보충	0	50.1493
외압	0	50.0
업적	0	49.8516
실언	0	49.7041
분기	1	49.5575
귀농	0	49.4118
검정	1	49.2669
폭염	0	49.1228
뮌헨	0	48.9796
보람	0	49.1279
안토시아닌	0	48.9855
여행	1	49.1329
부하	1	49.2795
실시	1	49.1379
정례	0	49.2837
한미일	0	49.1429
유자	0	49.2877
나이지리아	0	49.4318
합격	1	49.5751
보장	1	49.435
부식	0	49.2958
경주	0	49.4382
가시	0	49.5798
바탕	1	49.4413
건축	0	49.5822
호화	0	49.4444
감미	0	49.5845
엘피	0	49.4475
폐품	0	49.5868
영동	0	49.7253
움직임	1	49.863
성남	0	50.0
실정	1	50.1362
이내	0	50.2717
건	0	50.1355
세상	1	50.2703
우익	0	50.1348
구리	1	50.2688
일본	1	50.4021
함락	0	50.5348
단속	1	50.6667
베테랑	0	50.7979
감성	0	50.6631
수교	1	50.5291
중층	0	50.3958
보유	1	50.2632
프린트	0	50.1312
납득	0	50.0
정선	0	49.8695
후퇴	1	49.7396
대장	1	49.8701
위	1	49.7409
만사	0	49.6124
반도	0	49.4845
디도스	0	49.3573
인선	0	49.2308
한창	0	49.1049
종일	0	48.9796
제안	1	48.855
반대	1	48.9848
결속	0	48.8608
격퇴	0	48.9899
스스로	0	48.8665
귀환	0	48.7437
유망	0	48.6216
모욕	0	48.75
떼	0	48.8778
무단	0	49.005
코치	0	49.1315
침체	0	49.2574
지붕	0	49.3827
티셔츠	0	49.5074
기초	0	49.3857
총력	0	49.2647
요인	1	49.1443
프레임	0	49.0244
역전	1	49.1484
해악	0	49.2718
부지런	0	49.3947
동지	0	49.2754
현대	0	49.3976
영문	0	49.5192
장외	0	49.4005
공조	1	49.2823
득점	0	49.1647
덤핑	0	49.2857
확률	0	49.1686
호조	0	49.2891
강행	1	49.1726
하락	0	49.0566
덕분	0	49.1765
색인	0	49.2958
반장	1	49.4145
세균	0	49.2991
현장	1	49.1841
대수	1	49.0698
우루무치	0	48.9559
지도	1	49.0741
애매	0	49.1917
종가	0	49.0783
털	0	49.1954
점검	0	49.0826
역경	0	48.9703
경신	1	49.0868
수분	0	49.2027
불법	1	49.3182
멜로	0	49.2063
연립	0	49.3213
랜드마크	0	49.2099
번개	0	49.3243
이첩	0	49.2135
콘셉트	0	49.1031
컬러	0	48.9933
경칩	0	48.8839
부합	0	48.7751
사고	1	48.8889
방패	0	49.0022
근절	1	48.8938
각광	1	49.0066
파이	0	48.8987
납치	0	49.011
동전	1	49.1228
앞	1	49.0153
이후	1	48.9083
본질	0	49.0196
엔진	0	49.1304
정황	0	49.0239
이슬람	0	48.9177
휴직	0	49.0281
회견	0	48.9224
플러스	0	48.8172
변질	0	48.7124
연령	0	48.8223
폐	1	48.9316
비축	0	48.8273
동티모르	0	48.9362
유색	0	48.8323
유용	0	48.9407
건보	0	49.0486
희망	1	49.1561
자식	0	49.0526
챔피언십	0	49.1597
여	1	49.2662
개체	0	49.3724
배차	0	49.4781
대처	1	49.375
납품	0	49.4802
벗	0	49.3776
구상	0	49.2754
도리	0	49.3802
해발	0	49.2784
퇴장	0	49.177
쿠리에	0	49.076
우선	1	49.1803
수명	1	49.2843
메카	0	49.1837
공식	0	49.0835
단어	0	48.9837
핸드볼	0	48.8844
지향	1	48.7854
내심	0	48.8889
규정	1	48.7903
물량	0	48.6922
추석	0	48.7952
피해	1	48.8978
당	1	49.0
농업	0	49.1018
게재	0	49.004
이별	0	49.1054
직원	1	49.2063
형벌	0	49.1089
모두	0	49.0119
마찬가지	0	48.9152
항해	0	49.0157
가축	0	48.9194
주목	1	48.8235
녹화	0	48.728
가용	0	48.6328
원주	0	48.7329
터미널	0	48.6381
기류	0	48.7379
입점	0	48.6434
유	1	48.5493
이공	0	48.6486
오전	1	48.5549
취리히	0	48.4615
빌라	0	48.5605
공임	0	48.4674
중추	0	48.3748
힌트	0	48.4733
청결	0	48.5714
자신	1	48.6692
육로	0	48.7666
우호	0	48.8636
외면	1	48.9603
농도	0	49.0566
부검	0	48.9642
차지	1	48.8722
선주	0	48.7805
처장	0	48.6891
제자	0	48.785
탄핵	0	48.694
거인	0	48.6034
시절	1	48.6989
전통	1	48.6085
출혈	0	48.7037
분야	0	48.7985
감소	1	48.7085
피폐	0	48.6188
복무	0	48.7132
대안	1	48.6239
강세	1	48.7179
경	0	48.8117
스텔스	0	48.7226
젖	0	48.816
군함	0	48.9091
계류	0	48.8203
열매	0	48.913
방출	1	48.8246
저항	1	48.917
박수	0	48.8288
내일	1	48.741
연관	1	48.6535
덴버	0	48.5663
가입	0	48.4794
굴복	1	48.3929
매춘	0	48.4848
아르바이트	0	48.3986
설치	1	48.4902
매너	0	48.5816
대물	0	48.4956
공실	0	48.5866
행복	1	48.5009
변형	0	48.5915
억압	1	48.6819
자금	1	48.5965
전염	0	48.6865
직위	0	48.6014
계속	1	48.6911
칠순	0	48.6063
시즌	0	48.5217
구장	0	48.4375
후회	0	48.5269
시간	1	48.4429
여왕	0	48.532
수치	1	48.4483
신구	0	48.3649
노선	1	48.4536
내의	0	48.542
의자	1	48.4589
레벨	0	48.3761
세련	0	48.4642
페루	0	48.3816
일련	0	48.4694
체벌	0	48.5569
둔치	0	48.6441
배드민턴	0	48.5618
난제	0	48.6486
네팔	0	48.5666
배포	0	48.6532
몽니	0	48.7395
수양	0	48.8255
생가	0	48.9112
마이애미	0	48.9967
인종	0	48.9149
세수	0	49.0
대첩	0	48.9185
지구	1	48.8372
총기	0	48.7562
발탁	0	48.8411
특이	0	48.9256
조각	1	49.0099
신청	1	48.9292
무산	1	48.8487
스터디	0	48.9327
메이커	0	49.0164
면탈	0	49.0998
청주	0	49.0196
분별	0	48.9396
대학	0	48.8599
배임	0	48.9431
해안	0	48.8636
부족	1	48.7844
규칙	0	48.7055
통역	0	48.7884
질타	0	48.871
인파	0	48.7923
예정	0	48.8746
수녀	0	48.9567
보기	0	49.0385
창원	0	48.96
본관	0	48.8818
허리	0	48.9633
해제	0	48.8854
부지	0	48.8076
타	0	48.8889
보고	1	48.9699
양호	1	49.0506
욕망	0	49.1311
홍	0	49.2114
보건	0	49.1339
단순	0	49.2138
댐	0	49.2936
독서	0	49.373
창설	0	49.2958
업자	0	49.375
페스티벌	0	49.298
원내	0	49.2212
산란	0	49.1446
말레이시아	0	49.2236
야단	0	49.3023
예선	0	49.226
완료	0	49.3045
수조	0	49.2284
격	0	49.1525
귀결	0	49.2308
제목	0	49.3088
양측	0	49.3865
비법	0	49.464
왕자	0	49.5413
신임	0	49.4656
행정	0	49.5427
카자흐	0	49.6195
유치	1	49.696
쿠웨이트	0	49.6206
사범	0	49.5455
속성	0	49.6218
숙소	0	49.6979
이권	0	49.7738
소스	0	49.6988
급성	0	49.7744
법률	1	49.6997
오피스텔	0	49.7751
돌출	0	49.8503
원형	0	49.9253
회사	1	50.0
계기	1	49.9255
부다페스트	0	49.8512
회피	0	49.7771
한파	0	49.7033
연봉	0	49.6296
주소	0	49.7041
쿠알라룸푸르	0	49.7784
전집	0	49.705
시동	0	49.6318
외세	0	49.7059
주초	0	49.7797
정국	1	49.7067
원수	0	49.7804
상부	0	49.7076
포메이션	0	49.781
급	0	49.7085
헤밍웨이	0	49.6361
방화	0	49.7093
장착	0	49.7823
밀실	0	49.8551
당면	0	49.9276
소수	0	50.0
성찰	0	49.9278
판명	0	50.0
채록	0	50.0719
간	0	50.1437
피디	0	50.2152
재료	1	50.1433
말로	0	50.0715
배당	1	50.1429
무용	0	50.0713
이집트	0	50.0
절충	0	50.0711
모양	0	50.142
임시	1	50.0709
방충	0	50.0
정답	0	50.0707
엑스코	0	50.0
여객	0	50.0705
국정	1	50.0
우파	0	49.9297
플라토닉	0	49.8596
실화	0	49.9299
미드필더	0	50.0
가스	1	50.0699
속	1	50.0
현	0	50.0697
삼중	0	50.1393
시국	0	50.2086
이중	0	50.1389
진심	0	50.0693
법조	0	50.1385
현상	1	50.0692
강점	0	50.1381
슈만	0	50.069
오락	0	50.1377
소변	0	50.2063
전년	0	50.2747
피자	0	50.3429
말기	1	50.411
빌미	0	50.4788
신시내티	0	50.4098
구석	0	50.3411
경비	1	50.4087
하드웨어	0	50.4762
조심	0	50.4076
중병	0	50.3392
왕성	0	50.4065
미안	0	50.4736
장담	0	50.4054
말	1	50.3374
유품	0	50.2695
토끼	0	50.3365
난무	0	50.4032
잣	0	50.3356
동봉	0	50.2681
컨테이너	1	50.2008
엽서	1	50.2674
명암	0	50.3338
아시아	0	50.2667
피임	0	50.3329
전수	1	50.266
포항	0	50.1992
남단	0	50.1326
다운로드	0	50.0662
단결	0	50.1323
출처	0	50.0661
자퇴	0	50.0
적중	0	49.9341
변이	0	49.8684
오케스트라	0	49.9343
오클랜드	0	49.8688
체내	0	49.8034
매뉴얼	0	49.7382
수량	0	49.6732
교회	0	49.7389
연루	0	49.8044
이견	0	49.7396
소각	0	49.6749
물가	0	49.7403
병장	0	49.6757
물품	0	49.7409
반발	1	49.806
상원	0	49.7416
거액	0	49.6774
나흘	0	49.7423
음질	0	49.6782
개비	0	49.6144
승부	0	49.5507
하버	0	49.6154
발전	1	49.6799
체호프	0	49.6164
맹꽁이	0	49.553
아빠	0	49.4898
정상	1	49.5541
가이드	1	49.6183
고유	0	49.5553
편입	0	49.6193
생명	1	49.6831
결집	0	49.7468
귀착	0	49.6839
우라와	0	49.7475
고구마	0	49.8108
순진	0	49.7481
예약	0	49.6855
대사	1	49.7487
세공	0	49.6863
순환	0	49.6241
열기	0	49.6871
파란	0	49.75
달	1	49.6879
색소	0	49.6259
스파이	0	49.6887
문혁	0	49.7512
반문	0	49.6894
충전	1	49.7519
우수	0	49.8141
연중	0	49.8762
무모	0	49.8146
당연	1	49.8765
가짜	0	49.815
위계	0	49.8768
후자	0	49.9385
집합	0	50.0
모자이크	0	49.9387
원청	0	50.0
약세	0	49.9388
모친	0	49.8778
따돌림	0	49.8168
남자	1	49.7561
조롱	0	49.8173
강조	0	49.7567
입수	0	49.8177
신호	0	49.8786
기쁨	0	49.8182
네덜란드	0	49.8789
활기	0	49.8186
노모	0	49.8792
리그	1	49.9397
디스플레이	0	49.8795
연예	0	49.9398
봉급	0	50.0
슬래브	0	50.06
첨단	0	50.0
포수	0	49.9401
포섭	0	49.8804
세력	1	49.9403
플랫폼	0	49.8807
실점	0	49.9404
서거	0	50.0
자	0	50.0595
아비뇽	0	50.0
천적	0	50.0593
모	0	50.0
현직	0	49.9408
사흘	0	50.0
신중	0	50.059
패권	0	50.1179
귀추	0	50.0589
정유	0	50.1176
농협	0	50.0588
봉쇄	0	50.0
합의	1	49.9414
계획	1	49.8829
낭패	0	49.8246
과반	1	49.8832
역도산	0	49.825
애	1	49.7669
혼선	0	49.709
최후	0	49.6512
여진	0	49.5935
종자	0	49.652
발견	0	49.7103
순서	1	49.6528
선정	1	49.5954
택시	0	49.5381
의료	0	49.481
대어	0	49.424
점철	0	49.3671
타인	0	49.3103
누명	0	49.3685
치적	0	49.3119
위반	1	49.2554
소송	1	49.1991
유엔	0	49.2571
빙수	0	49.3151
외관	0	49.3729
강타	0	49.4305
할리우드	0	49.3743
소요	1	49.3182
독감	0	49.2622
행방	0	49.3197
식사	0	49.2639
심화	1	49.3213
성진	0	49.3785
한자	0	49.4357
미흡	0	49.4927
일종	0	49.5495
향방	0	49.4938
물건	0	49.5506
지원	1	49.4949
시너지	0	49.4395
아연	0	49.3841
권익	0	49.4407
단테	0	49.3855
어르신	0	49.3304
황사	0	49.2754
파업	0	49.3318
육박	0	49.3882
리본	0	49.4444
만료	0	49.5006
반항	0	49.4457
서부	0	49.5017
개입	1	49.4469
무휴	0	49.3923
개전	0	49.4481
가야	0	49.5039
바가지	0	49.5595
그리스	0	49.615
국수	0	49.5604
플라스틱	0	49.506
재단	1	49.4518
소설	1	49.3976
밀당	0	49.453
선대	0	49.3989
브루크너	0	49.345
위기	1	49.2912
단추	0	49.3464
버릇	0	49.4015
의존	0	49.4565
구두	0	49.5114
충족	1	49.5662
권장	0	49.6208
사즉생	0	49.5671
자율	0	49.6216
학문	0	49.568
세일	0	49.6224
생도	0	49.569
대변	1	49.5156
캐릭터	1	49.5699
가격	1	49.5166
무료	0	49.4635
개성	1	49.4105
아이디어	0	49.4647
입찰	0	49.4118
시이오	0	49.359
완성	0	49.3063
견해	1	49.3603
함수	1	49.3078
급감	0	49.3617
수칙	0	49.4155
등반	0	49.4692
어처구니	0	49.5228
소득	1	49.5763
자동	1	49.5238
국책	0	49.4715
여당	1	49.4192
기성	0	49.3671
혼동	0	49.4204
배후	1	49.4737
위폐	0	49.5268
세팅	0	49.4748
전작	0	49.5278
복사	0	49.4759
망	0	49.5288
야후	0	49.5816
옥스팜	0	49.5298
등산	0	49.4781
용액	0	49.5308
예인	0	49.5833
입력	0	49.6358
주검	0	49.5842
의혹	0	49.5327
살포	1	49.5851
아프리카	0	49.5337
아이엠오	0	49.4824
비발디	0	49.4312
오류	0	49.4835
쿠폰	1	49.5356
소집	0	49.5876
삼삼오오	0	49.6395
선행	0	49.5885
나전	0	49.6403
소모	0	49.5893
안정	1	49.641
탈모	0	49.6926
일반	1	49.6418
괴롭힘	0	49.591
신생	0	49.5403
항쟁	0	49.4898
애송	0	49.5413
의의	0	49.5927
중구	1	49.5422
위력	0	49.5935
아쉬움	0	49.5431
일독	0	49.4929
출점	0	49.4428
서첩	0	49.3927
맥주	0	49.3428
압력	1	49.2929
급전	0	49.2432
관측	1	49.1935
모형	0	49.2447
마라토너	0	49.1952
야외	0	49.1457
접견	0	49.1968
미소	1	49.2477
방벽	0	49.1984
환불	0	49.1491
강	1	49.1
매물	0	49.1508
활약	0	49.1018
정승	0	49.0528
구금	0	49.004
용기	0	48.9552
접속	0	48.9066
외상	0	48.858
초보	0	48.9087
모돈	0	48.8603
성향	0	48.9109
강제	0	48.8625
갑절	0	48.913
입학	0	48.9635
나트륨	0	48.9152
잔혹	0	48.867
징표	0	48.8189
모색	1	48.7709
당적	0	48.723
꼴	0	48.6752
변명	0	48.6275
고사	0	48.5798
중령	0	48.5323
저변	0	48.4848
사상	0	48.4375
섬	1	48.4878
추진	1	48.4405
대두	1	48.3934
섭취	0	48.4436
뱀파이어	0	48.3965
방어	1	48.3495
배	1	48.3026
강화	1	48.3527
감청	1	48.4027
문책	0	48.4526
미주	0	48.4058
연명	0	48.4556
강자	0	48.4089
성	1	48.3622
가뭄	0	48.4119
범행	0	48.4615
값	1	48.415
무디스	0	48.3685
어버이	0	48.3221
튀니지	0	48.3716
속설	0	48.4211
켐니츠	0	48.4704
풀백	0	48.4241
병력	0	48.4733
체인	1	48.5224
합판	0	48.4762
목불인견	0	48.4301
순찰	0	48.4791
인상	1	48.433
관점	1	48.3871
사계	0	48.436
난징	0	48.3902
테러리스트	0	48.439
선진	0	48.4877
업태	0	48.4419
난관	0	48.4906
응답	0	48.5391
열차	0	48.4934
애도	0	48.4478
도청	0	48.4023
청약	0	48.3568
압수	0	48.4053
시련	0	48.4536
기고	0	48.5019
고액	0	48.4565
전기	0	48.4112
상의	1	48.366
치안	0	48.3209
진정	1	48.3691
위로	1	48.4171
쿤밍	0	48.3721
몰입	0	48.4201
데이트	0	48.3751
제독	0	48.423
방미	0	48.3781
시내	0	48.4259
유입	1	48.4736
격상	0	48.5213
채찍	0	48.5688
과목	0	48.6162
급박	0	48.5714
프리랜서	0	48.6188
혈연	0	48.5741
결실	0	48.6213
옥	0	48.6685
삭제	0	48.7156
반공	0	48.7626
무한	0	48.7179
버섯	0	48.7649
위성	1	48.7203
리스트	0	48.6758
저지	0	48.7226
귀빈	0	48.6782
멸치	0	48.725
아이돌	0	48.6806
일상	1	48.7273
구현	1	48.683
명칭	0	48.6388
시황	0	48.6854
건국	0	48.6413
예치	0	48.6878
간부	1	48.7342
암울	0	48.6902
포도	0	48.7365
식탁	0	48.6925
대미	0	48.7387
잠깐	0	48.6949
환관	0	48.741
육군	0	48.6972
서초	0	48.6535
포털	0	48.6996
반면	0	48.6559
가전	0	48.6124
반응	0	48.6583
대개	0	48.7042
깡	0	48.75
박사	0	48.7957
연습	1	48.8414
보	0	48.7979
신화	1	48.7544
가미	0	48.8
불신	0	48.8455
연비	0	48.8909
휘장	0	48.8475
형	1	48.8043
송치	0	48.7611
나토	0	48.8064
회전	0	48.8516
소름	0	48.8967
대동	0	48.9418
의정	0	48.9868
파편	0	49.0317
학생	1	48.9886
제정	0	49.0334
회보	0	49.0781
마로니에	0	49.1228
피	0	49.1674
답사	0	49.1243
개관	0	49.0814
계발	0	49.1259
빈도	0	49.1703
백방	0	49.2147
합산	0	49.2589
서북	0	49.3031
뒤	1	49.2602
가설	0	49.2174
핀란드	0	49.1746
피파	0	49.1319
부위	1	49.1761
전쟁	1	49.1334
통풍	0	49.0909
총상	0	49.0484
음역	0	49.0925
직급	0	49.0501
주류	1	49.0078
특종	0	48.9655
연패	1	48.9233
알코올	0	48.9673
갈망	0	49.0112
유출	1	48.9691
종목	1	49.0129
위신	0	48.9708
인하	1	49.0146
양자	0	48.9726
초봉	0	49.0163
위구르	0	48.9744
환매	0	49.0179
특성	0	48.9761
조국	1	49.0196
에이스	0	48.9779
재산	0	49.0213
개악	0	49.0646
불자	0	49.1079
소식	1	49.1511
원전	0	49.1942
폭도	0	49.2373
차원	1	49.1956
사각	0	49.2386
모범	0	49.197
명천	0	49.1554
보관	0	49.1139
두발	0	49.0725
존폐	0	49.0312
대체	0	49.0741
몸	0	49.1169
생활	1	49.0756
함성	0	49.1184
우대	0	49.1611
연락	1	49.1199
독일	0	49.0787
풍성	0	49.0377
미군	0	49.0803
라마	0	49.0393
행세	0	48.9983
총장	1	48.9575
재경	0	48.9167
회생	0	48.8759
예방	1	48.9185
야	0	48.9609
총선	0	49.0033
이사	1	49.0456
소액	0	49.0879
환영	1	49.1301
지점	1	49.1722
도달	1	49.1315
램	0	49.1736
제어	0	49.2155
파견	0	49.1749
농부	0	49.1344
맹자	0	49.1763
정전	0	49.1358
비월	0	49.1776
폴란드	0	49.2194
간주	0	49.179
황	1	49.1386
실러캔스	0	49.0984
감산	0	49.14
사직	0	49.0998
무릎	0	49.0597
이끼	0	49.1013
올해	1	49.1429
호령	0	49.1843
동네	0	49.2258
심해	0	49.2671
조짐	0	49.227
고속	0	49.2683
하향	0	49.3095
주식	1	49.2695
전파	0	49.2295
검증	1	49.1896
기회	1	49.1498
시일	1	49.1909
국왕	0	49.1512
재력	0	49.1922
입건	0	49.1525
과테말라	0	49.1129
체조	0	49.0733
폐쇄	1	49.0338
히잡	0	48.9944
궤적	1	49.0354
체득	0	49.0763
실종	0	49.1172
주총	0	49.0778
순례	1	49.1186
반성	1	49.0793
방역	1	49.12
예능	0	49.0807
살수	0	49.0415
망명	0	49.0822
정세	1	49.1228
리더	0	49.0837
포격	0	49.0446
차명	0	49.0056
담론	0	48.9666
오리무중	0	48.9277
사표	0	48.8889
독특	0	48.9294
감내	0	48.9699
변수	0	48.9311
신속	0	48.9715
아파트	0	49.0119
네오콘	0	49.0521
엿새	0	49.0923
복직	0	49.1325
알	0	49.1726
스케줄	0	49.2126
블로그	0	49.1739
클리블랜드	0	49.2138
표기	1	49.1752
멋	0	49.2151
춘천	0	49.1765
화덕	0	49.1379
전례	1	49.1778
레미콘	0	49.2175
일축	0	49.179
역투	0	49.2188
마카오	0	49.2584
운	1	49.22
아산	0	49.2595
급여	1	49.2212
할머니	0	49.2607
회수	0	49.3002
차기	0	49.3395
의뢰	0	49.3012
선고	1	49.263
연소	0	49.2248
비자	0	49.2641
설법	0	49.3034
스톨리핀	0	49.2653
콘테스트	0	49.3045
런던	0	49.2664
분산	1	49.3056
기소	0	49.3446
