lexeme	frequency of lexeme	sclasses num	num correct mlp	num all mlp	score		
조화	1	1	12	32	37.5		
공격	1	1	13	32	40.625		
희생	1	1	17	32	53.125		
강령	1	1	12	32	37.5		
철	1	1	14	32	43.75		
망치	1	1	16	32	50		
허기	1	1	15	32	46.875		
베트남	1	1	16	32	50		
거짓	1	1	18	32	56.25		
사임	1	1	17	32	53.125		
역량	1	1	18	32	56.25		
통풍	1	1	16	32	50		
발음	1	1	11	32	34.375		
면제	1	1	19	32	59.375		
서초	1	1	14	32	43.75		
재난	1	1	14	32	43.75		
개각	1	1	22	32	68.75		
오전	1	1	16	32	50		
국모	1	1	19	32	59.375		
까닭	1	1	13	32	40.625		
공군	1	1	13	32	40.625		
수확	1	1	10	32	31.25		
풍요	1	1	13	32	40.625		
억압	1	1	20	32	62.5		
정돈	1	1	19	32	59.375		
멕시코	1	1	13	32	40.625		
숙지	1	1	17	32	53.125		
전형	1	1	16	32	50		
국방	1	1	11	32	34.375		
축하	1	1	12	32	37.5		
머리	1	1	14	32	43.75		
과자	1	1	16	32	50		
쥐	1	1	17	32	53.125		
어머니	1	1	16	32	50		
유통	1	1	20	32	62.5		
충성	1	1	13	32	40.625		
연	1	1	15	32	46.875		
제자	1	1	15	32	46.875		
기능	1	1	18	32	56.25		
독서	1	1	15	32	46.875		
법령	1	1	19	32	59.375		
투수	1	1	14	32	43.75		
사전	1	1	21	32	65.625		
데이터	1	1	16	32	50		
이견	1	1	16	32	50		
시스템	1	1	18	32	56.25		
대결	1	1	20	32	62.5		
창업	1	1	18	32	56.25		
개통	1	1	16	32	50		
산	1	1	15	32	46.875		
악화	1	1	16	32	50		
수류탄	1	1	19	32	59.375		
허약	1	1	15	32	46.875		
한족	1	1	15	32	46.875		
철학	1	1	15	32	46.875		
단속	1	1	13	32	40.625		
재물	1	1	17	32	53.125		
공상	1	1	17	32	53.125		
재판	1	1	17	32	53.125		
제안	1	1	14	32	43.75		
응시	1	1	15	32	46.875		
광장	1	1	16	32	50		
가시	1	1	16	32	50		
차주	1	1	19	32	59.375		
교회	1	1	12	32	37.5		
지대	1	1	19	32	59.375		
초청	1	1	14	32	43.75		
명령	1	1	14	32	43.75		
호남	1	1	16	32	50		
경우	1	1	12	32	37.5		
일본	1	1	19	32	59.375		
관절	1	1	14	32	43.75		
유머	1	1	21	32	65.625		
찌개	1	1	15	32	46.875		
주시	1	1	12	32	37.5		
채소	1	1	16	32	50		
챔피언	1	1	19	32	59.375		
저서	1	1	16	32	50		
캠페인	1	1	19	32	59.375		
문건	1	1	16	32	50		
우리	1	1	17	32	53.125		
자녀	1	1	19	32	59.375		
프로젝트	1	1	20	32	62.5		
쓰레기	1	1	15	32	46.875		
임용	1	1	16	32	50		
개시	1	1	18	32	56.25		
국정	1	1	18	32	56.25		
인용	1	1	18	32	56.25		
원인	1	1	12	32	37.5		
피	1	1	15	32	46.875		
실현	1	1	18	32	56.25		
충치	1	1	11	32	34.375		
접촉	1	1	15	32	46.875		
넋	1	1	14	32	43.75		
토론	1	1	24	32	75		
경위	1	1	15	32	46.875		
적성	1	1	16	32	50		
전력	1	1	22	32	68.75		
새	1	1	19	32	59.375		
마력	1	1	18	32	56.25		
콘서트	1	1	14	32	43.75		
영혼	1	1	17	32	53.125		
수작	1	1	18	32	56.25		
고집	1	1	14	32	43.75		
씨	1	1	19	32	59.375		
꽃	1	1	18	32	56.25		
수업	1	1	15	32	46.875		
독립	1	1	17	32	53.125		
구분	1	1	16	32	50		
공고	1	1	17	32	53.125		
리그	1	1	17	32	53.125		
시연	1	1	18	32	56.25		
협업	1	1	18	32	56.25		
보충	1	1	15	32	46.875		
상한	1	1	16	32	50		
우울	1	1	17	32	53.125		
부여	1	1	16	32	50		
이웃	1	1	18	32	56.25		
해발	1	1	19	32	59.375		
숙식	1	1	20	32	62.5		
줄	1	1	19	32	59.375		
학년	1	1	14	32	43.75		
부엌	1	1	14	32	43.75		
원천	1	1	15	32	46.875		
연료	1	1	14	32	43.75		
전쟁	1	1	21	32	65.625		
용역	1	1	14	32	43.75		
거장	1	1	20	32	62.5		
지인	1	1	21	32	65.625		
달걀	1	1	16	32	50		
문구	1	1	18	32	56.25		
촬영	1	1	18	32	56.25		
시	1	1	13	32	40.625		
퇴장	1	1	19	32	59.375		
코트	1	1	14	32	43.75		
제한	1	1	17	32	53.125		
셀프	1	1	20	32	62.5		
수염	1	1	17	32	53.125		
달	1	1	12	32	37.5		
환경	1	1	18	32	56.25		
속성	1	1	14	32	43.75		
개원	1	1	16	32	50		
파동	1	1	19	32	59.375		
값	1	1	16	32	50		
맥주	1	1	14	32	43.75		
작년	1	1	14	32	43.75		
이식	1	1	12	32	37.5		
꼴	1	1	21	32	65.625		
본질	1	1	17	32	53.125		
개별	1	1	16	32	50		
범위	1	1	18	32	56.25		
개헌	1	1	12	32	37.5		
성	1	1	12	32	37.5		
여인	1	1	15	32	46.875		
일가	1	1	13	32	40.625		
예의	1	1	23	32	71.875		
개봉	1	1	16	32	50		
자동	1	1	16	32	50		
시국	1	1	14	32	43.75		
습기	1	1	17	32	53.125		
비밀	1	1	16	32	50		
인증	1	1	16	32	50		
배신	1	1	17	32	53.125		
접수	1	1	18	32	56.25		
교환	1	1	12	32	37.5		
별명	1	1	18	32	56.25		
효과	1	1	17	32	53.125		
종목	1	1	12	32	37.5		
스쿼시	1	1	21	32	65.625		
전과	1	1	17	32	53.125		
격리	1	1	17	32	53.125		
표현	1	1	20	32	62.5		
모퉁이	1	1	14	32	43.75		
물가	1	1	16	32	50		
소	1	1	11	32	34.375		
신념	1	1	18	32	56.25		
명소	1	1	13	32	40.625		
불행	1	1	18	32	56.25		
선출	1	1	11	32	34.375		
끈	1	1	22	32	68.75		
설계	1	1	18	32	56.25		
북측	1	1	18	32	56.25		
규범	1	1	18	32	56.25		
교부	1	1	15	32	46.875		
통일	1	1	16	32	50		
정식	1	1	17	32	53.125		
병상	1	1	23	32	71.875		
담합	1	1	16	32	50		
부상	1	1	12	32	37.5		
구원	1	1	13	32	40.625		
부지	1	1	12	32	37.5		
역경	1	1	16	32	50		
저항	1	1	19	32	59.375		
게임	1	1	14	32	43.75		
아테네	1	1	15	32	46.875		
전말	1	1	12	32	37.5		
가중	1	1	11	32	34.375		
단추	1	1	14	32	43.75		
이모	1	1	19	32	59.375		
바탕	1	1	14	32	43.75		
차별	1	1	20	32	62.5		
고속	1	1	14	32	43.75		
뿌리	1	1	15	32	46.875		
수행	1	1	16	32	50		
소설	1	1	16	32	50		
반	1	1	11	32	34.375		
생기	1	1	21	32	65.625		
주체	1	1	18	32	56.25		
수기	1	1	22	32	68.75		
노병	1	1	14	32	43.75		
확장	1	1	16	32	50		
배우	1	1	17	32	53.125		
다큐멘터리	1	1	17	32	53.125		
영세	1	1	16	32	50		
등	1	1	14	32	43.75		
베이징	1	1	18	32	56.25		
사안	1	1	18	32	56.25		
반항	1	1	15	32	46.875		
마드리드	1	1	13	32	40.625		
선사	1	1	13	32	40.625		
곡선	1	1	14	32	43.75		
발송	1	1	15	32	46.875		
등장	1	1	13	32	40.625		
외투	1	1	16	32	50		
동향	1	1	15	32	46.875		
이행	1	1	20	32	62.5		
토막	1	1	17	32	53.125		
감소	1	1	12	32	37.5		
잠깐	1	1	13	32	40.625		
이틀	1	1	16	32	50		
근로	1	1	15	32	46.875		
설	1	1	13	32	40.625		
임금	1	1	14	32	43.75		
선박	1	1	21	32	65.625		
최다	1	1	14	32	43.75		
해역	1	1	9	32	28.125		
차단	1	1	12	32	37.5		
차관	1	1	13	32	40.625		
법인	1	1	13	32	40.625		
선실	1	1	14	32	43.75		
보호	1	1	11	32	34.375		
조작	1	1	15	32	46.875		
사옥	1	1	12	32	37.5		
빙수	1	1	17	32	53.125		
채권	1	1	17	32	53.125		
원조	1	1	20	32	62.5		
리더십	1	1	16	32	50		
콩	1	1	16	32	50		
송이	1	1	17	32	53.125		
대처	1	1	19	32	59.375		
악보	1	1	16	32	50		
윤기	1	1	14	32	43.75		
포인트	1	1	13	32	40.625		
표시	1	1	16	32	50		
범죄	1	1	20	32	62.5		
근처	1	1	13	32	40.625		
요금	1	1	17	32	53.125		
토대	1	1	14	32	43.75		
채택	1	1	15	32	46.875		
신약	1	1	18	32	56.25		
불법	1	1	16	32	50		
치즈	1	1	15	32	46.875		
귀환	1	1	19	32	59.375		
편안	1	1	13	32	40.625		
지원	1	1	14	32	43.75		
당직	1	1	15	32	46.875		
이륙	1	1	13	32	40.625		
국	1	1	17	32	53.125		
기념	1	1	17	32	53.125		
역풍	1	1	13	32	40.625		
대응	1	1	16	32	50		
유령	1	1	19	32	59.375		
일대	1	1	17	32	53.125		
일화	1	1	12	32	37.5		
종전	1	1	17	32	53.125		
네팔	1	1	11	32	34.375		
시내	1	1	17	32	53.125		
온기	1	1	15	32	46.875		
부문	1	1	17	32	53.125		
직업	1	1	18	32	56.25		
다수	1	1	19	32	59.375		
경남	1	1	16	32	50		
간부	1	1	14	32	43.75		
생활	1	1	16	32	50		
생애	1	1	16	32	50		
파견	1	1	15	32	46.875		
충동	1	1	21	32	65.625		
트로피	1	1	17	32	53.125		
미대	1	1	20	32	62.5		
주목	1	1	15	32	46.875		
커피	1	1	15	32	46.875		
수요	1	1	13	32	40.625		
일행	1	1	18	32	56.25		
빈도	1	1	13	32	40.625		
공짜	1	1	14	32	43.75		
디자이너	1	1	11	32	34.375		
정밀	1	1	15	32	46.875		
켜	1	1	14	32	43.75		
의심	1	1	16	32	50		
음성	1	1	19	32	59.375		
체계	1	1	15	32	46.875		
남	1	1	15	32	46.875		
국장	1	1	15	32	46.875		
상실	1	1	17	32	53.125		
반감	1	1	11	32	34.375		
이내	1	1	13	32	40.625		
배달	1	1	18	32	56.25		
선별	1	1	14	32	43.75		
공시	1	1	19	32	59.375		
이벤트	1	1	20	32	62.5		
형식	1	1	16	32	50		
질환	1	1	20	32	62.5		
갈등	1	1	14	32	43.75		
덤	1	1	17	32	53.125		
각주	1	1	15	32	46.875		
규칙	1	1	18	32	56.25		
운행	1	1	13	32	40.625		
전제	1	1	19	32	59.375		
선행	1	1	20	32	62.5		
안목	1	1	15	32	46.875		
허리	1	1	18	32	56.25		
생산	1	1	19	32	59.375		
신당	1	1	13	32	40.625		
고아	1	1	16	32	50		
자본	1	1	12	32	37.5		
도시	1	1	15	32	46.875		
별도	1	1	13	32	40.625		
세기	1	1	23	32	71.875		
출연	1	1	17	32	53.125		
국립	1	1	19	32	59.375		
기행	1	1	16	32	50		
당선	1	1	19	32	59.375		
수렴	1	1	19	32	59.375		
특허	1	1	18	32	56.25		
병실	1	1	14	32	43.75		
지출	1	1	18	32	56.25		
지금	1	1	17	32	53.125		
창당	1	1	15	32	46.875		
방면	1	1	12	32	37.5		
혁신	1	1	21	32	65.625		
중독	1	1	13	32	40.625		
법률	1	1	14	32	43.75		
절정	1	1	19	32	59.375		
귀기	1	1	18	32	56.25		
렌즈	1	1	12	32	37.5		
눈	1	1	18	32	56.25		
대함	1	1	17	32	53.125		
절	1	1	16	32	50		
초점	1	1	20	32	62.5		
추신	1	1	16	32	50		
호르몬	1	1	17	32	53.125		
데뷔	1	1	17	32	53.125		
점검	1	1	19	32	59.375		
회비	1	1	17	32	53.125		
악마	1	1	19	32	59.375		
동아리	1	1	19	32	59.375		
성품	1	1	21	32	65.625		
지상	1	1	17	32	53.125		
고정	1	1	17	32	53.125		
농부	1	1	20	32	62.5		
생리	1	1	17	32	53.125		
통로	1	1	12	32	37.5		
효력	1	1	22	32	68.75		
스포츠	1	1	19	32	59.375		
총	1	1	19	32	59.375		
완화	1	1	19	32	59.375		
통	1	1	21	32	65.625		
총회	1	1	14	32	43.75		
부품	1	1	9	32	28.125		
전용	1	1	13	32	40.625		
개관	1	1	21	32	65.625		
단위	1	1	16	32	50		
어버이	1	1	16	32	50		
재직	1	1	17	32	53.125		
운전	1	1	13	32	40.625		
기점	1	1	23	32	71.875		
신부	1	1	20	32	62.5		
과잉	1	1	19	32	59.375		
세부	1	1	17	32	53.125		
생명	1	1	12	32	37.5		
격려	1	1	17	32	53.125		
인천	1	1	15	32	46.875		
논문	1	1	16	32	50		
군기	1	1	15	32	46.875		
소화	1	1	14	32	43.75		
의지	1	1	13	32	40.625		
출입	1	1	16	32	50		
팝콘	1	1	18	32	56.25		
출근	1	1	17	32	53.125		
최초	1	1	19	32	59.375		
분석	1	1	11	32	34.375		
명품	1	1	19	32	59.375		
장남	1	1	13	32	40.625		
반미	1	1	19	32	59.375		
변론	1	1	12	32	37.5		
유산	1	1	14	32	43.75		
건립	1	1	21	32	65.625		
취지	1	1	14	32	43.75		
주도	1	1	16	32	50		
폐	1	1	14	32	43.75		
폐기	1	1	17	32	53.125		
지급	1	1	14	32	43.75		
금액	1	1	18	32	56.25		
자율	1	1	16	32	50		
출간	1	1	19	32	59.375		
공석	1	1	16	32	50		
만찬	1	1	20	32	62.5		
명	1	1	15	32	46.875		
신앙	1	1	13	32	40.625		
당적	1	1	14	32	43.75		
요절	1	1	15	32	46.875		
세일	1	1	16	32	50		
상위	1	1	13	32	40.625		
경고	1	1	13	32	40.625		
취소	1	1	10	32	31.25		
영예	1	1	17	32	53.125		
골짜기	1	1	15	32	46.875		
약학	1	1	15	32	46.875		
답	1	1	15	32	46.875		
초반	1	1	14	32	43.75		
이치	1	1	16	32	50		
오후	1	1	16	32	50		
슬픔	1	1	13	32	40.625		
충전	1	1	19	32	59.375		
시야	1	1	18	32	56.25		
범인	1	1	13	32	40.625		
패스	1	1	11	32	34.375		
유혹	1	1	16	32	50		
공익	1	1	13	32	40.625		
영산	1	1	16	32	50		
마무리	1	1	10	32	31.25		
충신	1	1	13	32	40.625		
가보	1	1	15	32	46.875		
특성	1	1	21	32	65.625		
대치	1	1	17	32	53.125		
하노이	1	1	18	32	56.25		
고생	1	1	13	32	40.625		
열쇠	1	1	20	32	62.5		
다툼	1	1	15	32	46.875		
설립	1	1	14	32	43.75		
교감	1	1	16	32	50		
통신	1	1	12	32	37.5		
주인	1	1	20	32	62.5		
조선	1	1	18	32	56.25		
위원	1	1	15	32	46.875		
야외	1	1	21	32	65.625		
책자	1	1	16	32	50		
운	1	1	17	32	53.125		
의료	1	1	14	32	43.75		
변칙	1	1	15	32	46.875		
거금	1	1	21	32	65.625		
재정	1	1	23	32	71.875		
기타	1	1	17	32	53.125		
실태	1	1	14	32	43.75		
스승	1	1	15	32	46.875		
교통	1	1	10	32	31.25		
텔레비전	1	1	21	32	65.625		
건축	1	1	16	32	50		
품	1	1	14	32	43.75		
할인	1	1	11	32	34.375		
불편	1	1	15	32	46.875		
진영	1	1	13	32	40.625		
글	1	1	15	32	46.875		
소스	1	1	16	32	50		
고위	1	1	17	32	53.125		
과목	1	1	15	32	46.875		
자기	1	1	12	32	37.5		
두려움	1	1	17	32	53.125		
가지	1	1	22	32	68.75		
파괴	1	1	14	32	43.75		
학습	1	1	14	32	43.75		
움직임	1	1	14	32	43.75		
천사	1	1	15	32	46.875		
동작	1	1	12	32	37.5		
한은	1	1	19	32	59.375		
존재	1	1	17	32	53.125		
지침	1	1	19	32	59.375		
공공	1	1	14	32	43.75		
모자이크	1	1	17	32	53.125		
막대기	1	1	17	32	53.125		
화가	1	1	16	32	50		
몰골	1	1	20	32	62.5		
동네	1	1	19	32	59.375		
상환	1	1	16	32	50		
증거	1	1	14	32	43.75		
규제	1	1	19	32	59.375		
다이어트	1	1	20	32	62.5		
냄새	1	1	15	32	46.875		
강경	1	1	15	32	46.875		
향상	1	1	17	32	53.125		
기색	1	1	13	32	40.625		
화음	1	1	16	32	50		
세배	1	1	16	32	50		
거실	1	1	20	32	62.5		
심사	1	1	14	32	43.75		
숙제	1	1	16	32	50		
고문	1	1	17	32	53.125		
반찬	1	1	17	32	53.125		
산악	1	1	20	32	62.5		
태도	1	1	13	32	40.625		
당장	1	1	13	32	40.625		
하위	1	1	19	32	59.375		
전승	1	1	14	32	43.75		
비난	1	1	20	32	62.5		
감지	1	1	16	32	50		
발문	1	1	15	32	46.875		
연마	1	1	13	32	40.625		
사항	1	1	13	32	40.625		
당일	1	1	16	32	50		
궤적	1	1	12	32	37.5		
낭비	1	1	14	32	43.75		
브루나이	1	1	11	32	34.375		
연설	1	1	20	32	62.5		
조리	1	1	17	32	53.125		
차장	1	1	13	32	40.625		
획득	1	1	18	32	56.25		
납치	1	1	19	32	59.375		
성숙	1	1	17	32	53.125		
감염	1	1	21	32	65.625		
이야기	1	1	15	32	46.875		
수습	1	1	17	32	53.125		
모범	1	1	16	32	50		
방어	1	1	17	32	53.125		
지방	1	1	19	32	59.375		
측근	1	1	12	32	37.5		
염두	1	1	12	32	37.5		
협상	1	1	21	32	65.625		
상가	1	1	15	32	46.875		
특사	1	1	19	32	59.375		
협조	1	1	16	32	50		
소명	1	1	18	32	56.25		
수입	1	1	21	32	65.625		
신구	1	1	15	32	46.875		
발동	1	1	17	32	53.125		
축적	1	1	15	32	46.875		
조합	1	1	21	32	65.625		
인절미	1	1	10	32	31.25		
내심	1	1	12	32	37.5		
탄핵	1	1	10	32	31.25		
전시	1	1	20	32	62.5		
선로	1	1	20	32	62.5		
배	1	1	14	32	43.75		
주소	1	1	19	32	59.375		
내용	1	1	19	32	59.375		
전문	1	1	16	32	50		
권	1	1	19	32	59.375		
충격	1	1	14	32	43.75		
사방	1	1	14	32	43.75		
차이	1	1	18	32	56.25		
팀	1	1	11	32	34.375		
예외	1	1	13	32	40.625		
재생	1	1	14	32	43.75		
소형	1	1	17	32	53.125		
이마	1	1	18	32	56.25		
양호	1	1	15	32	46.875		
들	1	1	15	32	46.875		
응원	1	1	18	32	56.25		
어려움	1	1	14	32	43.75		
주차	1	1	18	32	56.25		
리노	1	1	10	32	31.25		
영감	1	1	16	32	50		
절도	1	1	11	32	34.375		
임신	1	1	17	32	53.125		
칼	1	1	16	32	50		
심리	1	1	12	32	37.5		
예약	1	1	16	32	50		
정황	1	1	14	32	43.75		
구매	1	1	15	32	46.875		
노사	1	1	10	32	31.25		
멸치	1	1	17	32	53.125		
유효	1	1	15	32	46.875		
부실	1	1	15	32	46.875		
연회	1	1	17	32	53.125		
회초리	1	1	16	32	50		
압도	1	1	16	32	50		
의식	1	1	14	32	43.75		
구입	1	1	15	32	46.875		
수명	1	1	12	32	37.5		
마음	51	2	13	32	40.625		
뒤	34	2	16	32	50		
정부	29	2	15	32	46.875		
모습	25	2	16	32	50		
집	22	2	22	32	68.75		
시간	21	2	16	32	50		
대표	14	2	15	32	46.875		
세계	14	2	10	32	31.25		
길	14	2	17	32	53.125		
친구	13	2	15	32	46.875		
책	12	2	18	32	56.25		
가족	12	2	17	32	53.125		
대회	10	2	14	32	43.75		
투자	10	2	15	32	46.875		
말	10	2	15	32	46.875		
정도	9	2	20	32	62.5		
감독	9	2	14	32	43.75		
지역	8	2	16	32	50		
시장	8	2	18	32	56.25		
확인	8	2	17	32	53.125		
사건	8	2	12	32	37.5		
기간	8	2	19	32	59.375		
꿈	7	2	15	32	46.875		
장관	7	2	15	32	46.875		
개선	7	2	18	32	56.25		
방문	7	2	20	32	62.5		
병원	7	2	16	32	50		
시험	6	2	17	32	53.125		
책임	6	2	17	32	53.125		
아버지	6	2	16	32	50		
개발	6	2	17	32	53.125		
건강	6	2	15	32	46.875		
군	5	2	17	32	53.125		
결정	5	2	11	32	34.375		
정신	5	2	20	32	62.5		
요청	5	2	17	32	53.125		
신청	5	2	13	32	40.625		
형	4	2	13	32	40.625		
진출	4	2	18	32	56.25		
공사	4	2	20	32	62.5		
가격	4	2	15	32	46.875		
예산	4	2	17	32	53.125		
무대	4	2	17	32	53.125		
기사	4	2	17	32	53.125		
진행	4	2	13	32	40.625		
감사	4	2	14	32	43.75		
작품	4	2	15	32	46.875		
대책	4	2	12	32	37.5		
계약	4	2	12	32	37.5		
관리	4	2	16	32	50		
처리	4	2	17	32	53.125		
평화	4	2	16	32	50		
구	4	2	20	32	62.5		
대신	4	2	21	32	65.625		
앞	4	2	12	32	37.5		
기록	3	2	18	32	56.25		
인재	3	2	23	32	71.875		
분위기	3	2	18	32	56.25		
인연	3	2	14	32	43.75		
작업	3	2	18	32	56.25		
성격	3	2	19	32	59.375		
정리	3	2	17	32	53.125		
노선	3	2	11	32	34.375		
가구	3	2	19	32	59.375		
선고	3	2	17	32	53.125		
수	3	2	14	32	43.75		
드라마	3	2	16	32	50		
수익	3	2	19	32	59.375		
면	3	2	15	32	46.875		
이상	3	2	10	32	31.25		
통과	3	2	15	32	46.875		
역사	3	2	11	32	34.375		
연락	2	2	18	32	56.25		
가정	2	2	15	32	46.875		
표	2	2	14	32	43.75		
조정	2	2	20	32	62.5		
인상	2	2	17	32	53.125		
장편	2	2	18	32	56.25		
감상	2	2	12	32	37.5		
아침	2	2	19	32	59.375		
남자	2	2	18	32	56.25		
맛	2	2	16	32	50		
의도	2	2	19	32	59.375		
조성	2	2	15	32	46.875		
화제	2	2	22	32	68.75		
경계	2	2	22	32	68.75		
발행	2	2	19	32	59.375		
잔	2	2	23	32	71.875		
중간	2	2	18	32	56.25		
등급	2	2	17	32	53.125		
문	2	2	12	32	37.5		
보상	2	2	15	32	46.875		
신랑	2	2	14	32	43.75		
삼성	2	2	17	32	53.125		
뜻	2	2	14	32	43.75		
해법	2	2	16	32	50		
인물	2	2	19	32	59.375		
성적	2	2	17	32	53.125		
명예	2	2	11	32	34.375		
강판	2	2	14	32	43.75		
상처	2	2	21	32	65.625		
시각	2	2	20	32	62.5		
해석	2	2	16	32	50		
운명	2	2	17	32	53.125		
합류	2	2	18	32	56.25		
행위	2	2	17	32	53.125		
층	2	2	20	32	62.5		
독자	2	2	16	32	50		
구조	2	2	18	32	56.25		
때	54	3	19	32	59.375		
생각	39	3	15	32	46.875		
한국	32	3	17	32	53.125		
문제	22	3	21	32	65.625		
세상	17	3	18	32	56.25		
힘	9	3	12	32	37.5		
강화	9	3	15	32	46.875		
회장	9	3	15	32	46.875		
행복	7	3	13	32	40.625		
감정	7	3	19	32	59.375		
선거	6	3	16	32	50		
이전	5	3	19	32	59.375		
사고	4	3	14	32	43.75		
아래	4	3	13	32	40.625		
이름	3	3	13	32	40.625		
과정	3	3	16	32	50		
가치	3	3	16	32	50		
사람	23	4	20	32	62.5		
이후	17	4	20	32	62.5		
자리	13	4	16	32	50		
일	8	4	17	32	53.125		
안	15	5	19	32	59.375		
